OptionRef,OptionTitle,ParentSubcomponent,Complexity,ModeApplicability,ValidationFlag,Description
F.01.2.A,F.01.2.A – Option A Implementation,F.01.2 – API Ingestion,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.01.2 – API Ingestion
F.01.2.B,F.01.2.B – Option B Implementation,F.01.2 – API Ingestion,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.01.2 – API Ingestion
F.01.2.C,F.01.2.C – Option C Implementation,F.01.2 – API Ingestion,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.01.2 – API Ingestion
F.01.3.A,F.01.3.A – Option A Implementation,F.01.3 – Data Share Ingestion,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.01.3 – Data Share Ingestion
F.01.3.B,F.01.3.B – Option B Implementation,F.01.3 – Data Share Ingestion,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.01.3 – Data Share Ingestion
F.01.3.C,F.01.3.C – Option C Implementation,F.01.3 – Data Share Ingestion,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.01.3 – Data Share Ingestion
F.02.1.A,F.02.1.A – Option A Implementation,F.02.1 – Workflow Definition & Management,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.02.1 – Workflow Definition & Management
F.02.1.B,F.02.1.B – Option B Implementation,F.02.1 – Workflow Definition & Management,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.02.1 – Workflow Definition & Management
F.02.1.C,F.02.1.C – Option C Implementation,F.02.1 – Workflow Definition & Management,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.02.1 – Workflow Definition & Management
F.03.1.A,F.03.1.A – Option A Implementation,F.03.1 – Data Cleaning,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.03.1 – Data Cleaning
F.03.1.B,F.03.1.B – Option B Implementation,F.03.1 – Data Cleaning,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.03.1 – Data Cleaning
F.03.1.C,F.03.1.C – Option C Implementation,F.03.1 – Data Cleaning,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.03.1 – Data Cleaning
F.03.2.A,F.03.2.A – Option A Implementation,F.03.2 – Data Enrichment,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.03.2 – Data Enrichment
F.03.2.B,F.03.2.B – Option B Implementation,F.03.2 – Data Enrichment,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.03.2 – Data Enrichment
F.03.2.C,F.03.2.C – Option C Implementation,F.03.2 – Data Enrichment,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.03.2 – Data Enrichment
F.04.2.A,F.04.2.A – Option A Implementation,F.04.2 – Curated / Silver Layer,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.04.2 – Curated / Silver Layer
F.04.2.B,F.04.2.B – Option B Implementation,F.04.2 – Curated / Silver Layer,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.04.2 – Curated / Silver Layer
F.04.2.C,F.04.2.C – Option C Implementation,F.04.2 – Curated / Silver Layer,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.04.2 – Curated / Silver Layer
F.06.1.A,F.06.1.A – Option A Implementation,F.06.1 – API,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.06.1 – API
F.06.1.B,F.06.1.B – Option B Implementation,F.06.1 – API,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.06.1 – API
F.06.1.C,F.06.1.C – Option C Implementation,F.06.1 – API,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.06.1 – API
F.06.4.A,F.06.4.A – Option A Implementation,F.06.4 – Data Apps,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.06.4 – Data Apps
F.06.4.B,F.06.4.B – Option B Implementation,F.06.4 – Data Apps,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.06.4 – Data Apps
F.06.4.C,F.06.4.C – Option C Implementation,F.06.4 – Data Apps,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.06.4 – Data Apps
F.07.1.A,F.07.1.A – Option A Implementation,F.07.1 – Generative AI,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.07.1 – Generative AI
F.07.1.B,F.07.1.B – Option B Implementation,F.07.1 – Generative AI,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.07.1 – Generative AI
F.07.1.C,F.07.1.C – Option C Implementation,F.07.1 – Generative AI,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.07.1 – Generative AI
F.07.3.A,F.07.3.A – Option A Implementation,F.07.3 – Notebooks (Data Science Workspaces),Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.07.3 – Notebooks (Data Science Workspaces)
F.07.3.B,F.07.3.B – Option B Implementation,F.07.3 – Notebooks (Data Science Workspaces),Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.07.3 – Notebooks (Data Science Workspaces)
F.07.3.C,F.07.3.C – Option C Implementation,F.07.3 – Notebooks (Data Science Workspaces),Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.07.3 – Notebooks (Data Science Workspaces)
F.12.2.A,F.12.2.A – Option A Implementation,F.12.2 – Data Management,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.12.2 – Data Management
F.12.2.B,F.12.2.B – Option B Implementation,F.12.2 – Data Management,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.12.2 – Data Management
F.12.2.C,F.12.2.C – Option C Implementation,F.12.2 – Data Management,Medium,"MVP,Production,Enterprise",Pending,Implementation option for F.12.2 – Data Management
